model,horizon,frequency,direction,acc,auc,f1,prec,rec,dataset
gat,Lead-lag,D,Buy,0.8020969855832241,0.7804799912129755,0.6138107416879797,0.6,0.6282722513089005,Lead-lag_D_Buy
gat,Lead-lag,D,Sell,0.7993311036789298,0.7699107142857142,0.6153846153846153,0.5925925925925926,0.64,Lead-lag_D_Sell
gat,Lead-lag,W,Buy,0.7900928792569659,0.827942703436322,0.6278814489571899,0.5641025641025641,0.7079207920792079,Lead-lag_W_Buy
gat,Lead-lag,W,Sell,0.7830188679245284,0.786954629959258,0.6011560693641619,0.5561497326203209,0.6540880503144654,Lead-lag_W_Sell
gat,Simultaneous,D,Buy,0.8863885839736553,0.9123762233181784,0.7742639040348964,0.7700650759219089,0.7785087719298246,Simultaneous_D_Buy
gat,Simultaneous,D,Sell,0.8936170212765957,0.8982303839732888,0.7757255936675461,0.8212290502793296,0.735,Simultaneous_D_Sell
gat,Simultaneous,W,Buy,0.8119436201780416,0.8638764392865425,0.65439672801636,0.605296343001261,0.712166172106825,Simultaneous_W_Buy
gat,Simultaneous,W,Sell,0.8583916083916084,0.8883971506349129,0.7226027397260274,0.7080536912751678,0.7377622377622378,Simultaneous_W_Sell
gcn,Lead-lag,D,Buy,0.7653997378768019,0.7574323582176985,0.5707434052757794,0.5265486725663717,0.6230366492146597,Lead-lag_D_Buy
gcn,Lead-lag,D,Sell,0.7424749163879598,0.7643749999999999,0.5837837837837838,0.4909090909090909,0.72,Lead-lag_D_Sell
gcn,Lead-lag,W,Buy,0.7263157894736842,0.7873198240550727,0.568359375,0.4693548387096774,0.7202970297029703,Lead-lag_W_Buy
gcn,Lead-lag,W,Sell,0.7751572327044025,0.7687393694869665,0.5830903790087463,0.5434782608695652,0.6289308176100629,Lead-lag_W_Sell
gcn,Simultaneous,D,Buy,0.8798024149286499,0.9054633518275924,0.7450523864959256,0.794044665012407,0.7017543859649122,Simultaneous_D_Buy
gcn,Simultaneous,D,Sell,0.8685857321652065,0.8871076794657763,0.7457627118644068,0.7230046948356808,0.77,Simultaneous_D_Sell
gcn,Simultaneous,W,Buy,0.8037833827893175,0.8328725268339069,0.6207885304659497,0.6005547850208044,0.642433234421365,Simultaneous_W_Buy
gcn,Simultaneous,W,Sell,0.8487762237762237,0.8652908862699074,0.7001733102253033,0.6941580756013745,0.7062937062937062,Simultaneous_W_Sell
